,body_neg,body_neu,body_pos,body_com,title_neg,title_neu,title_pos,title_com,Title Length,Body Length,Total Length,Title Emoji,Body Emoji,Title Ellipses,Body Ellipses,Title Hashtags,Body Hashtags,Title Exclamations,Body Exclamations,Status Rank,# Reviews,Target Rating
6849,0.0,0.575,0.425,0.9882,0.0,0.308,0.692,0.6696,4,68,72,0,0,0,0,0,0,1,3,0,1,5
6850,0.0,0.536,0.464,0.8858,0.0,0.345,0.655,0.8225,6,17,23,0,0,0,0,0,0,0,1,3,1,5
6851,0.031,0.728,0.241,0.9198,0.0,0.283,0.717,0.8225,5,60,65,0,0,0,0,0,0,0,1,3,1,4
6853,0.112,0.767,0.121,0.1154,0.189,0.811,0.0,-0.2732,11,50,61,0,0,0,0,0,0,0,0,0,1,1
6854,0.0,0.813,0.187,0.5994,0.0,0.562,0.438,0.5994,6,23,29,0,0,0,0,0,0,0,0,3,2,1
6855,0.0,0.611,0.389,0.7906,0.0,0.3,0.7,0.7906,6,15,21,0,0,0,0,0,0,0,0,3,1,5
6856,0.0,0.562,0.438,0.5994,0.0,0.506,0.494,0.5994,6,7,13,0,0,0,0,0,0,0,0,0,1,5
6858,0.0,0.534,0.466,0.7901,0.0,0.309,0.691,0.7717,5,13,18,0,1,0,0,0,0,0,1,2,1,5
6859,0.0,0.734,0.266,0.9297,0.0,0.182,0.818,0.6696,4,47,51,0,0,0,0,0,0,1,0,3,1,5
6862,0.0,0.664,0.336,0.9493,0.0,0.441,0.559,0.8225,8,43,51,0,0,0,0,0,0,0,0,0,1,5
6863,0.0,0.545,0.455,0.9331,0.0,0.506,0.494,0.5994,5,29,34,0,0,0,0,0,0,0,2,0,1,5
6865,0.0,0.591,0.409,0.9341,0.0,0.328,0.672,0.6249,3,28,31,0,0,0,0,0,0,0,3,0,1,5
6866,0.0,0.391,0.609,0.8316,0.0,1.0,0.0,0.0,1,7,8,0,0,0,0,0,0,0,0,3,1,5
6867,0.0,0.402,0.598,0.9245,0.0,0.268,0.732,0.8481,5,16,21,0,5,0,0,0,0,0,1,2,1,5
6868,0.0,0.715,0.285,0.6588,0.0,0.196,0.804,0.6249,2,14,16,0,0,0,0,0,0,0,1,2,1,5
6869,0.0,0.633,0.367,0.9441,0.0,0.185,0.815,0.6588,3,35,38,0,0,0,0,0,0,1,1,3,1,5
6870,0.0,0.619,0.381,0.93,0.0,0.649,0.351,0.4019,6,31,37,0,0,0,0,0,0,0,0,0,1,5
6871,0.25,0.466,0.284,0.169,1.0,0.0,0.0,-0.5707,2,15,17,0,0,0,0,0,0,1,1,0,1,1
6872,0.25,0.466,0.284,0.169,1.0,0.0,0.0,-0.5707,2,15,17,0,0,0,0,0,0,1,1,0,1,1
